as_of_date,category,stock_quantity,days_until_expiry,original_price,candidate_price,discount_pct,recent_7d_velocity,previous_23d_velocity,weekday,observation_count,units_sold_before_expiry
2026-03-11,Bakery,8,25,383.26,306.61,20,1.7997,1.8343,6,7,8
2026-03-12,Dairy,63,5,342.99,274.39,20,1.1057,1.5755,0,26,7.57
2026-03-13,Produce,23,4,483.24,434.92,10,2.7009,0.7856,1,21,9.8
2026-03-14,Produce,51,30,213.41,170.73,20,2.9523,2.4224,2,27,51
2026-03-15,Deli,79,28,407.63,407.63,0,1.0604,0.9817,3,14,31.64
2026-03-16,Bakery,46,17,31.01,20.16,35,1.9306,1.5708,4,29,46
2026-03-17,Grocery,22,23,231.86,173.9,25,0.8787,0.4973,5,27,22
2026-03-18,Grocery,58,15,417.22,312.92,25,0.8847,1.2023,6,17,24.58
2026-03-19,Dairy,62,25,295.68,192.19,35,1.3305,1.2285,0,13,62
2026-03-20,Dairy,30,16,193.54,145.16,25,0.9184,2.2818,1,3,30
2026-03-21,Meat,13,7,139.64,90.77,35,0.8048,0.5454,2,25,9.82
2026-03-22,Grocery,65,21,237.88,237.88,0,1.2066,1.1172,3,21,23.97
2026-03-23,Deli,73,16,277.19,180.17,35,0.8646,1.6551,4,14,38.77
2026-03-24,Produce,37,15,170.65,136.52,20,2.3325,2.2698,5,27,37
2026-03-25,Produce,27,6,127.78,76.67,40,2.5919,1.8673,6,27,27
2026-03-26,Meat,39,20,490.74,392.59,20,0.9956,1.3992,0,7,29.06
2026-03-27,Deli,9,2,287.85,244.67,15,1.8238,0.8102,1,6,2.87
2026-03-28,Seafood,76,1,160.06,96.04,40,0.7128,0.963,2,18,3.12
2026-03-29,Bakery,11,27,215.34,193.81,10,2.2756,1.072,3,7,11
2026-03-30,Dairy,75,26,475.83,428.25,10,1.7634,1.4914,4,28,66.13
2026-03-31,Meat,69,8,205.68,123.41,40,0.5765,0.9711,5,16,15.13
2026-04-01,Deli,10,19,314.57,283.11,10,1.4713,1.1205,6,8,10
2026-04-02,Dairy,73,6,60.66,60.66,0,2.2486,0.9225,0,18,11.83
2026-04-03,Deli,32,2,161.85,121.39,25,1.0655,0.8211,1,28,2.47
2026-04-04,Seafood,78,21,339.06,271.25,20,0.2397,0.5981,2,23,11.73
2026-04-05,Dairy,37,30,417.65,375.88,10,2.3666,1.7922,3,12,37
2026-04-06,Grocery,62,4,352.12,228.88,35,0.633,1.3308,4,18,6.15
2026-04-07,Grocery,79,3,43.93,28.55,35,0.9538,0.5937,5,24,6.1
2026-04-08,Seafood,76,28,303.88,303.88,0,0.9368,1.3033,6,11,29.09
2026-04-09,Meat,25,2,248.49,149.09,40,1.3106,0.9949,0,18,3.07
2026-04-10,Bakery,47,16,218.97,153.28,30,1.3432,1.287,1,13,36.67
2026-04-11,Grocery,66,23,161.9,105.24,35,1.172,0.6507,2,13,38.8
2026-04-12,Bakery,54,25,435.83,435.83,0,1.9533,1.4298,3,16,41.3
2026-04-13,Bakery,69,7,196.85,118.11,40,1.0493,1.1533,4,12,21.39
2026-04-14,Grocery,65,29,82.68,66.14,20,1.4231,0.9353,5,3,58.17
2026-04-15,Meat,14,14,131.73,118.56,10,0.9132,1.1396,6,25,14
2026-04-16,Deli,37,17,222.36,133.42,40,0.7709,1.467,0,20,31.13
2026-04-17,Dairy,27,13,462.89,393.46,15,1.7772,1.2271,1,28,27
2026-04-18,Meat,3,9,159.35,119.51,25,0.7139,1.327,2,24,3
2026-04-19,Grocery,22,28,237.11,142.27,40,0.7504,1.3142,3,13,22
2026-04-20,Seafood,33,7,296.6,237.28,20,0.8064,1.0716,4,13,9.18
2026-04-21,Produce,51,16,208.39,177.13,15,1.8078,2.0048,5,30,47.94
2026-04-22,Bakery,59,28,72.36,43.42,40,1.7879,2.0999,6,30,59
2026-04-23,Produce,12,5,248.01,186.01,25,1.432,2.7827,0,30,12
2026-04-24,Produce,71,28,205.5,143.85,30,0.8943,1.1233,1,18,50.44
2026-04-25,Seafood,7,18,318.29,254.63,20,0.418,0.4536,2,16,7
2026-04-26,Bakery,15,25,235.75,176.81,25,1.7831,1.9361,3,28,15
2026-04-27,Bakery,48,10,203.05,172.59,15,1.8237,2.3562,4,8,33.41
2026-04-28,Bakery,51,20,319.36,255.49,20,1.4389,1.0857,5,10,51
2026-04-29,Grocery,35,21,243.3,243.3,0,1.3152,0.8008,6,5,23.79
2026-04-30,Grocery,78,12,167.1,108.61,35,1.428,0.8786,0,12,22.08
2026-05-01,Dairy,64,13,75.66,49.18,35,0.8823,1.243,1,29,28.56
2026-05-02,Produce,38,13,28.85,28.85,0,1.9731,2.8398,2,29,26.21
2026-05-03,Deli,32,25,313.36,219.35,30,1.2528,1.4294,3,27,32
2026-05-04,Produce,20,22,323.42,323.42,0,3.175,1.7659,4,21,20
2026-05-05,Deli,19,24,67.81,50.86,25,0.9982,1.5306,5,14,19
2026-05-06,Meat,37,17,419.47,314.6,25,1.7445,1.78,6,28,37
2026-05-07,Deli,46,24,407.01,244.21,40,1.4251,1.1542,0,26,46
2026-05-08,Produce,74,13,198.74,129.18,35,1.7099,2.7413,1,17,60.09
2026-05-09,Deli,36,22,302.67,211.87,30,1.4382,1.3654,2,20,36
2026-05-10,Deli,31,30,332.63,199.58,40,1.3366,1.4572,3,16,31
2026-05-11,Bakery,8,5,474.47,355.85,25,2.1129,1.7931,4,15,8
2026-05-12,Grocery,72,12,224.09,190.48,15,1.4327,1.329,5,29,23.08
2026-05-13,Grocery,55,20,471.05,353.29,25,1.3297,1.0589,6,30,30.99
2026-05-14,Deli,50,4,283.62,198.53,30,1.5587,1.4686,0,6,10.74
2026-05-15,Seafood,61,27,68.54,54.83,20,0.6328,0.617,1,10,30.28
2026-05-16,Dairy,75,26,122.47,97.98,20,1.6235,0.7943,2,10,53.92
2026-05-17,Deli,21,25,399.61,399.61,0,0.994,2.2203,3,28,21
2026-05-18,Dairy,6,4,87.61,61.33,30,1.4488,1.5825,4,13,6
2026-05-19,Bakery,36,6,49.89,32.43,35,0.7715,1.6542,5,19,11.69
2026-05-20,Meat,60,4,264.32,264.32,0,1.1993,0.9971,6,24,2.02
2026-05-21,Meat,61,10,330.59,330.59,0,1.5079,1.2405,0,18,10.71
2026-05-22,Produce,59,30,59.91,53.92,10,2.6176,1.8512,1,7,59
2026-05-23,Deli,77,20,285.47,199.83,30,0.7848,1.5304,2,16,34.88
2026-05-24,Bakery,17,26,430.08,344.06,20,2.5182,0.7772,3,16,17
2026-05-25,Deli,61,27,214.4,192.96,10,1.0608,1.4879,4,24,46.26
2026-05-26,Grocery,14,3,420.09,378.08,10,1.8669,0.5491,5,14,7.25
2026-05-27,Seafood,74,5,53.49,37.44,30,0.7439,0.6566,6,16,8.6
2026-05-28,Seafood,9,30,484.99,363.74,25,0.3652,0.6886,0,9,9
2026-05-29,Dairy,64,22,131.52,118.37,10,1.1062,1.9639,1,10,40.58
2026-05-30,Seafood,74,14,487.91,487.91,0,1.0682,0.5937,2,25,11.25
2026-05-31,Deli,26,1,154.8,116.1,25,1.5441,1.0416,3,24,2.55
2026-06-01,Grocery,21,3,376.96,376.96,0,1.1768,1.3093,4,15,4.94
2026-06-02,Grocery,46,15,99.77,74.83,25,0.8924,0.4887,5,4,19.87
2026-06-03,Dairy,9,6,345.14,258.86,25,1.4088,1.0572,6,22,9
2026-06-04,Grocery,37,14,127.4,114.66,10,0.9045,1.1202,0,19,13.91
2026-06-05,Produce,8,10,129.75,129.75,0,1.1551,2.5076,1,9,8
2026-06-06,Seafood,35,5,162.49,146.24,10,1.4216,0.9217,2,25,8.7
2026-06-07,Dairy,74,17,420.84,294.59,30,1.9586,2.305,3,4,70.3
2026-06-08,Grocery,61,1,462.55,323.78,30,0.5939,0.8206,4,6,1.09
2026-06-09,Grocery,44,1,106.64,63.98,40,0.6477,1.3321,5,5,0.37
2026-06-10,Grocery,16,28,140.58,91.38,35,0.6526,0.9548,6,13,16
2026-06-11,Seafood,12,6,267.48,240.73,10,1.1666,0.726,0,27,7.01
2026-06-12,Deli,21,12,137.23,116.65,15,1.1903,1.4221,1,5,21
2026-06-13,Dairy,66,25,245.38,147.23,40,2.226,1.1099,2,23,66
2026-06-14,Produce,44,20,435.52,304.86,30,2.1535,2.1834,3,11,44
2026-06-15,Meat,48,2,265.99,199.49,25,1.2161,1.0113,4,14,4.41
2026-06-16,Seafood,12,10,331.22,298.1,10,0.619,0.6876,5,28,7.11
2026-06-17,Produce,8,29,238.62,190.9,20,2.2066,1.7038,6,7,8
2026-06-18,Bakery,16,15,410.21,287.15,30,2.0628,1.775,0,25,16
2026-06-19,Grocery,70,15,273.31,232.31,15,0.9214,0.5599,1,15,20.12
2026-06-20,Grocery,46,25,347.48,347.48,0,1.1233,0.58,2,24,25.38
2026-06-21,Grocery,35,10,368.77,313.45,15,1.0628,0.8016,3,7,15.45
2026-06-22,Deli,53,10,86.25,77.62,10,1.0507,1.5258,4,24,18.37
2026-06-23,Produce,70,27,69.39,45.1,35,0.7615,1.8851,5,12,70
2026-06-24,Dairy,46,7,475.14,285.08,40,2.3641,3.4417,6,28,42.71
2026-06-25,Bakery,72,17,421.68,421.68,0,2.2363,1.2197,0,22,25.24
2026-06-26,Dairy,51,20,98.27,83.53,15,1.941,0.826,1,17,48.06
2026-06-27,Bakery,49,14,346.27,277.02,20,1.4468,2.5281,2,27,40.23
2026-06-28,Produce,60,26,136.15,108.92,20,1.5353,3.0158,3,14,60
2026-06-29,Produce,59,19,244.3,183.23,25,2.2571,2.1247,4,16,59
2026-06-30,Dairy,28,27,405.6,344.76,15,1.62,1.3945,5,6,28
2026-07-01,Produce,69,28,429.3,321.98,25,2.082,2.3066,6,17,69
2026-07-02,Meat,58,5,68.56,54.85,20,1.4256,0.4735,0,15,9.46
2026-07-03,Meat,33,12,208.43,187.59,10,0.9314,1.0442,1,6,14.8
2026-07-04,Seafood,45,23,400.91,340.77,15,1.5832,1.0437,2,27,38.41
2026-07-05,Produce,60,16,317.29,285.56,10,2.2273,2.4152,3,7,50.3
2026-07-06,Meat,80,24,275.69,248.12,10,1.1464,0.8602,4,23,38.56
2026-07-07,Seafood,61,20,54.83,32.9,40,1.0611,0.8596,5,19,45.83
2026-07-08,Meat,21,8,163.35,163.35,0,0.8855,0.9383,6,5,5.31
2026-07-09,Meat,11,12,477.87,477.87,0,1.3848,0.8127,0,23,11
2026-07-10,Grocery,35,12,379.98,265.99,30,1.0771,0.7322,1,27,19.17
2026-07-11,Meat,45,24,88.37,61.86,30,0.5615,0.5203,2,8,21.72
2026-07-12,Seafood,62,25,490.89,294.53,40,0.5107,0.5368,3,17,30.37
2026-07-13,Bakery,28,10,45.81,36.65,20,2.221,2.1543,4,12,28
2026-07-14,Meat,72,13,249.86,249.86,0,1.1052,0.8851,5,30,13.24
2026-07-15,Produce,37,11,84.13,58.89,30,2.9544,1.4405,6,17,37
2026-07-16,Grocery,26,11,260.7,156.42,40,0.5796,1.3968,0,16,15.29
2026-07-17,Bakery,80,14,497.67,423.02,15,2.0602,1.3439,1,5,38.46
2026-07-18,Deli,40,22,170.59,110.88,35,1.4276,1.5377,2,14,40
2026-07-19,Meat,38,14,328.75,328.75,0,1.3023,1.5188,3,14,20.64
2026-07-20,Meat,23,26,477.57,405.93,15,1.4368,0.6956,4,10,23
2026-07-21,Seafood,49,21,197.02,197.02,0,0.962,0.5785,5,14,18.33
2026-07-22,Deli,12,15,297.61,208.33,30,0.7124,1.5116,6,26,12
2026-07-23,Dairy,69,16,208.82,187.94,10,1.7576,1.4742,0,17,34.53
2026-07-24,Dairy,39,20,354.64,212.78,40,1.5873,1.7312,1,25,39
2026-07-25,Grocery,43,3,342.22,308.0,10,1.0967,0.7637,2,12,3.4
2026-07-26,Seafood,25,6,402.01,321.61,20,1.0526,1.0249,3,3,11.32
2026-07-27,Deli,76,18,200.23,170.2,15,1.7687,1.0834,4,12,44.84
2026-07-28,Grocery,64,23,274.71,178.56,35,1.0609,0.8948,5,17,52.84
2026-07-29,Grocery,69,22,188.64,160.34,15,0.9133,1.0176,6,19,26.07
2026-07-30,Seafood,18,2,271.1,203.33,25,1.0421,1.1049,0,19,2.94
2026-07-31,Deli,13,28,144.04,108.03,25,0.8255,1.416,1,20,13
2026-08-01,Bakery,24,17,306.11,260.19,15,2.2189,2.465,2,21,24
2026-08-02,Bakery,6,27,63.58,47.69,25,1.4697,1.2636,3,16,6
2026-08-03,Meat,6,21,261.57,196.18,25,0.8949,0.8822,4,15,6
2026-08-04,Deli,12,15,352.09,299.28,15,1.9619,0.8152,5,9,12
2026-08-05,Deli,21,20,173.48,121.44,30,1.1173,0.4886,6,14,21
2026-08-06,Meat,16,18,176.58,105.95,40,1.0686,1.3589,0,7,16
2026-08-07,Bakery,40,2,474.06,308.14,35,1.8137,2.8812,1,21,10.05
2026-08-08,Produce,27,11,387.48,232.49,40,2.5258,2.6727,2,12,27
2026-08-09,Grocery,14,1,473.99,284.39,40,1.2383,0.9566,3,18,2.02
2026-08-10,Meat,63,29,160.73,160.73,0,1.199,1.3009,4,11,37.88
2026-08-11,Produce,54,12,198.82,129.23,35,2.8532,2.2435,5,15,54
2026-08-12,Meat,73,15,157.87,142.08,10,1.3416,1.2028,6,14,25.31
2026-08-13,Seafood,74,11,471.0,400.35,15,1.0182,1.2057,0,7,14.25
2026-08-14,Produce,63,11,271.68,230.93,15,1.9999,1.4328,1,13,29.19
2026-08-15,Meat,23,11,211.65,158.74,25,0.7191,0.8819,2,21,11.31
2026-08-16,Deli,5,16,199.97,179.97,10,1.1703,1.6728,3,28,5
2026-08-17,Produce,6,28,308.53,231.4,25,3.1974,1.7846,4,26,6
2026-08-18,Bakery,64,19,105.99,68.89,35,0.984,2.2888,5,4,64
2026-08-19,Meat,17,23,115.62,69.37,40,1.014,1.2742,6,27,17
2026-08-20,Meat,63,30,439.59,439.59,0,0.7316,0.9905,0,20,19.18
2026-08-21,Deli,64,22,274.6,192.22,30,1.6489,1.0926,1,24,54.24
2026-08-22,Seafood,36,28,314.79,251.83,20,0.8182,1.1106,2,12,36
2026-08-23,Dairy,39,10,359.83,215.9,40,1.3012,1.8804,3,11,37.28
2026-08-24,Deli,76,4,346.4,225.16,35,0.8973,1.486,4,14,8.47
2026-08-25,Seafood,21,26,162.97,122.23,25,1.0228,0.8696,5,26,21
2026-08-26,Grocery,28,7,418.28,313.71,25,0.765,1.4227,6,7,9.19
2026-08-27,Bakery,78,20,138.66,138.66,0,1.4258,1.218,0,16,24.58
2026-08-28,Deli,63,23,72.76,61.85,15,1.0949,1.6549,1,8,40.59
2026-01-01,Grocery,63,21,251.79,201.43,20,1.0107,0.7533,2,27,28.16
2026-01-02,Bakery,76,21,135.3,135.3,0,2.0146,2.0864,3,29,41.57
2026-01-03,Dairy,7,30,498.66,324.13,35,1.5796,1.2192,4,12,7
2026-01-04,Bakery,41,1,294.78,265.3,10,0.5219,2.2394,5,17,1.28
2026-01-05,Produce,70,18,259.61,220.67,15,2.4665,1.4573,6,8,61.87
2026-01-06,Produce,35,15,366.33,366.33,0,2.3204,1.9109,0,21,25.09
2026-01-07,Produce,27,25,108.36,70.43,35,2.3918,1.3608,1,8,27
2026-01-08,Dairy,44,16,469.52,469.52,0,1.9049,1.4777,2,27,30.71
2026-01-09,Deli,41,11,301.67,301.67,0,1.1712,1.539,3,17,14.28
2026-01-10,Deli,54,6,350.88,263.16,25,1.8212,1.0118,4,12,15.29
2026-01-11,Deli,31,20,129.09,109.73,15,0.7416,1.2542,5,25,31
2026-01-12,Meat,63,30,384.74,307.79,20,1.0739,1.1371,6,22,43.32
2026-01-13,Seafood,13,26,274.62,192.23,30,1.2581,1.064,0,19,13
2026-01-14,Dairy,71,19,96.18,67.33,30,1.7502,1.7966,1,24,59.9
2026-01-15,Dairy,77,23,257.19,154.31,40,1.708,1.0386,2,4,71.63
2026-01-16,Meat,42,15,368.56,239.56,35,1.0646,1.0993,3,9,30.45
2026-01-17,Meat,8,3,226.26,203.63,10,0.9688,1.0702,4,18,6.93
2026-01-18,Bakery,55,10,110.49,93.92,15,0.6633,1.9484,5,23,11.38
2026-01-19,Grocery,51,12,238.06,154.74,35,0.6235,1.3201,6,23,15.88
2026-01-20,Seafood,18,12,109.77,71.35,35,0.5665,0.4715,0,10,10.64
2026-01-21,Seafood,5,1,489.78,293.87,40,0.7174,0.5998,1,10,0.19
2026-01-22,Grocery,22,12,155.93,140.34,10,0.8701,1.4318,2,22,15.67
2026-01-23,Seafood,5,30,139.32,125.39,10,0.9663,0.9418,3,4,5
2026-01-24,Dairy,8,24,216.08,172.86,20,1.0282,0.7693,4,27,8
2026-01-25,Bakery,67,5,496.9,397.52,20,2.2104,0.998,5,24,16.75
2026-01-26,Seafood,33,11,168.34,143.09,15,1.286,1.2264,6,16,18.94
2026-01-27,Deli,10,9,289.44,246.02,15,0.8884,0.9296,0,23,5.71
2026-01-28,Produce,70,13,176.4,114.66,35,2.0516,1.5752,1,8,59.14
2026-01-29,Seafood,63,18,139.46,111.57,20,0.7452,1.3021,2,20,26.4
2026-01-30,Grocery,74,14,276.75,179.89,35,0.2705,1.0091,3,23,13.1
2026-01-31,Bakery,60,30,427.39,384.65,10,0.6448,1.5745,4,22,45.12
2026-02-01,Meat,12,2,114.38,91.5,20,1.2192,0.4396,5,13,3.72
2026-02-02,Deli,4,30,125.61,100.49,20,1.4039,1.1576,6,10,4
2026-02-03,Produce,29,20,213.4,170.72,20,1.9979,1.0179,0,15,29
2026-02-04,Grocery,48,18,171.5,120.05,30,0.5909,0.9717,1,18,26.61
2026-02-05,Seafood,43,27,459.31,321.52,30,1.4161,0.8682,2,30,43
2026-02-06,Dairy,21,24,32.7,21.26,35,1.4028,1.7855,3,10,21
2026-02-07,Grocery,46,18,147.23,88.34,40,1.451,1.4203,4,18,46
2026-02-08,Grocery,48,6,105.4,63.24,40,1.2957,1.5762,5,19,23.65
2026-02-09,Bakery,12,27,473.96,473.96,0,1.7039,1.8501,6,29,12
2026-02-10,Produce,11,8,360.91,360.91,0,2.1508,2.6493,0,22,11
2026-02-11,Grocery,65,22,32.47,21.11,35,1.1849,1.3673,1,11,48.48
2026-02-12,Meat,5,10,263.55,171.31,35,1.3919,0.4208,2,7,5
2026-02-13,Dairy,70,7,144.9,101.43,30,1.6472,1.4508,3,14,23.71
2026-02-14,Grocery,75,15,140.52,112.42,20,0.7971,1.5354,4,23,32.37
2026-02-15,Seafood,14,2,217.51,141.38,35,1.3729,0.8132,5,3,5.11
2026-02-16,Produce,13,6,262.43,170.58,35,1.6148,1.5749,6,19,13
2026-02-17,Bakery,30,8,453.1,271.86,40,1.5586,1.6379,0,24,30
2026-02-18,Deli,72,29,292.67,292.67,0,1.5516,1.8338,1,7,49.85
2026-02-19,Seafood,53,27,466.22,349.67,25,0.9211,1.0047,2,29,43.68
2026-02-20,Seafood,72,13,182.57,155.18,15,1.0212,0.5005,3,14,18.82
2026-02-21,Bakery,58,4,135.27,121.74,10,2.293,1.3018,4,22,15.22
2026-02-22,Grocery,44,25,39.07,29.3,25,1.0801,0.679,5,15,43.76
2026-02-23,Grocery,77,6,338.82,304.94,10,1.44,1.0349,6,10,8.29
2026-02-24,Produce,13,3,152.29,98.99,35,1.7634,1.174,0,6,10.02
2026-02-25,Bakery,42,1,236.25,177.19,25,1.2514,1.9848,1,16,2.93
2026-02-26,Grocery,74,18,268.41,241.57,10,1.3227,1.0461,2,13,30.58
2026-02-27,Seafood,4,13,163.63,106.36,35,1.1348,0.9791,3,20,4
2026-02-28,Dairy,69,19,105.55,68.61,35,1.7013,1.8116,4,8,69
2026-03-01,Grocery,56,9,167.38,150.64,10,1.1953,0.5366,5,26,16.38
2026-03-02,Produce,79,16,317.92,190.75,40,2.4669,2.3185,6,22,79
2026-03-03,Grocery,45,26,234.11,152.17,35,0.9006,1.2377,0,22,35.64
2026-03-04,Dairy,44,10,311.53,249.22,20,1.1745,1.537,1,26,18.67
2026-03-05,Produce,65,21,484.69,387.75,20,2.3662,1.7767,2,28,65
2026-03-06,Grocery,17,12,467.73,374.18,20,0.6321,0.7937,3,26,10.72
2026-03-07,Grocery,29,23,233.27,174.95,25,0.5977,1.0555,4,30,28.77
2026-03-08,Seafood,55,26,344.66,292.96,15,0.7431,0.7506,5,28,28.02
2026-03-09,Grocery,60,3,495.58,297.35,40,0.5341,0.6775,6,30,2.63
2026-03-10,Produce,72,14,42.46,29.72,30,1.6169,0.9528,0,6,32.57
2026-03-11,Seafood,48,8,104.01,104.01,0,0.5117,0.5417,1,23,3.54
2026-03-12,Grocery,45,25,483.72,314.42,35,1.1254,1.0844,2,20,45
2026-03-13,Meat,76,23,129.99,90.99,30,1.7283,0.66,3,21,62.06
2026-03-14,Produce,22,17,188.86,188.86,0,1.4176,2.0542,4,29,22
2026-03-15,Produce,47,5,173.15,103.89,40,1.858,2.1556,5,14,24.25
2026-03-16,Grocery,59,4,367.95,220.77,40,0.8759,1.2301,6,30,7.6
2026-03-17,Deli,16,21,346.64,294.64,15,1.007,1.7349,0,19,16
2026-03-18,Dairy,23,18,182.22,118.44,35,1.8684,1.4157,1,23,23
2026-03-19,Produce,53,14,38.87,31.1,20,2.2511,1.3959,2,3,50.28
2026-03-20,Produce,29,7,157.21,141.49,10,0.8904,1.4976,3,9,8.54
2026-03-21,Grocery,36,4,343.58,206.15,40,0.9233,0.5782,4,22,6.79
2026-03-22,Grocery,53,20,303.83,212.68,30,0.7685,1.2661,5,28,36.93
2026-03-23,Deli,78,30,65.26,55.47,15,1.7555,1.0972,6,6,69.27
2026-03-24,Dairy,21,12,267.64,173.97,35,0.9356,1.1649,0,20,19.95
2026-03-25,Produce,25,30,288.58,173.15,40,2.3759,1.9067,1,29,25
